0001001001001001001001001001001001001001001001001001 001001001001001001001001 001001001001001001001 001001001001001001 001001001001001001 001001001001001001 001001001001001001001 001001001001001001001001001 001001001001001001001001 001001001001001001001 001001001001001001001001 001001001001001001001001 001001001001001001001001001 001001001001001001001001 001001001001001001001001001 001001001001001001001001001001
0001001001001002001001001002001001001001001001001001 001001001001002001001001 001001001001001001001 002001001001001001 001001001001002001 001001001001001001 001001002001001001001 001001001001001002001001001 001001001001001002001001 001001001001001001001 001001001002001001001001 001001001001001002001001 001001001001001001001002001 001001001001001001001002 001001001001001001001001001 001001002001001001001001001001
0002001001001000001001001000001001001001001001001002 001001001001000001001001 001001002001001001001 000001001001001002 001001001001000001 001001001002001001 001001000001001001001 001002001001001000001001001 001001001001001000001001 001001001001001002001 001001001000001001001001 002001001001001000001001 001001001002001001001000001 001001001001001001001000 001001001001001001001001001 001001000001001001001001001001
0000001001001000001001001001001001001001001001001000 001001001001000001001001 001001000001001001002 000001001001001000 001001001001000001 001001001000001001 001001000001001001001 001000001001001000001001001 001001001001001000001001 001001001001001000001 001001001000001001001001 000001001001001000001001 001001001000001001001000001 001001001001001001001000 001001001001001001001001001 001001000001001001001001001001
0000002001002002001001002001001001002001001001001000 001002001001003001002001 002001000002001001000 003001001002001000 002001001002003001 001001002000002001 001002003001001002001 001000001001001003002001001 001001002001001003001002 001002001001002000002 001001002003001001001002 000002001001002003001001 002001001000001001001003002 001001001001002001001003 001002001002001001002001002 001001003001002001002001001002
0003000002000000002002000002002002000002002002002003 002000002002001002000002 000002003000002002000 001002002000002003 000002002000001002 001002000003000002 001000001002001000002 001003002001002001000002001 002002000002002001002000 001000002002000003000 002002000001002001002000 003000002001000001002001 000002001003002001002001000 002001002002000002002001 002000001000002002000002000 002002001002000001000002002000
0001000000000000000000000000000000000000000000000001 000000000000001000000000 000000001000000000003 001000000000000001 000000000000001000 002000000001000000 002000001000002000000 002001000002000001000000002 000000000000000001000000 002000000000000001000 000000000001000002000000 001000000002000001000002 000000002001000002000001000 000002000000000000000001 000000002000000000000000000 000000001000000002000000000000
0001003000003003000000003000000000003000000000000001 000003000000001000003000 003000001003000000001 001000000003000001 003000000003001000 000000003001003000 000003001000000003000 000001000000000001003000000 000000003000000001000003 000003000000003001003 000000003001000000000003 001003000000003001000000 003000000001000000000001003 000000000000003000000001 000003000003000000003000003 000000001000003000003000000003
0001001003001001003003001003003003001003003003003001 003001003003001003001003 001003001001003003001 001003003001002001 001003003001001003 000003001001001003 000001001003000001003 000001003000003001001003000 003003001003003001003001 000001003003001001001 003003001001003000003001 001001003000001001003000 001003000001003000003001001 003000003003001003003001 003001000001003003001003001 003003001003001000001003003001
0001001001001001001001001001001001001001001001001001 001001001001001001001001 001001001001001001001 001001001001001001 001001001001001001 003001001001001001 003001001001003001001 003001001003001001001001002 001001001001001001001001 003001001001001001001 001001001001001003001001 001001001003001001001003 001001003001001003001001001 001003001001001001001001 001001003001001001001001001 001001001001001003001001001001
0001001001001001001001001001001001001001001001001001 001001001001001001001001 001001001001001001001 001001001001001001 001001001001001001 001001001001001001 001001001001001001001 001001001001001001001001001 001001001001001001001001 001001001001001001001 001001001001001001001001 001001001001001001001001 001001001001001001001001001 001001001001001001001001 001001001001001001001001001 001001001001001001001001001001
